nome_conta;linha_dre;natureza;tipo_estoque
MULTAS DE TRÂNSITO;OPER_OUTRASFIX;DESPESA_DIRETA;
MÓVEIS E UTENSÍLIOS;CAPEX_IMOB;CAPEX;
NUCLEO;CMV_NUCLEO;INVENTARIAVEL;RACAO
PAGAMENTO DE ISS;OPER_TAXAS;DESPESA_DIRETA;
PALLET;CMV_EMBAL;INVENTARIAVEL;EMBALAGEM
PATROCÍNIO, BRINDES E DOAÇÕES;OPER_PATROC;DESPESA_DIRETA;
PEÇAS E ACESSÓRIOS;CMV_MANUT;DESPESA_DIRETA;
PLR - PARTICIPAÇÃO NOS LUCROS OU RESULTADOS;OPER_ENCARGOS;DESPESA_DIRETA;
PROTEINA - COZINHA;OPER_REFCARNE;DESPESA_DIRETA;
PRÓ-LABORE;OPER_PROLAB;DESPESA_DIRETA;
REFEIÇÕES / LANCHES;OPER_REFEI;DESPESA_DIRETA;
REMUNERAÇÃO PJ;OPER_FOLHA;DESPESA_DIRETA;
REMUNERAÇÃO, SALÁRIOS E ADIANTAMENTOS;OPER_FOLHA;DESPESA_DIRETA;
RESCISÕES;OPER_ENCARGOS;DESPESA_DIRETA;
RV TECNOAGRO COMERCIO E REPRESENTACOES LTDA;OPER_OUTRASFIX;DESPESA_DIRETA;
SALARIOS;OPER_FOLHA;DESPESA_DIRETA;
SEGURO DE VIDA COLABORADORES;OPER_SEGVIDA;DESPESA_DIRETA;
SEM PARAR INSTITUICAO DE PAGAMENTO LTDA;OPER_PEDAGIO;DESPESA_DIRETA;
SERVIÇO DE LIMPEZA;OPER_LIMP;DESPESA_DIRETA;
SERVIÇO DE MANUTENÇÃO EM GERAL;CMV_MANUT;DESPESA_DIRETA;
SERVIÇO TERCEIRIZADO DE TRANSPORTE DE CARGA;OPER_FRETE;DESPESA_DIRETA;
SERVIÇOS DE BENFEITORIAS E IMOVEIS;CAPEX_REFBENF;CAPEX;
SERVIÇOS DE BENFEITORIAS E MÁQ/EQUIPAMENTOS;CAPEX_REFBENF;CAPEX;
SERVIÇOS DE BORRACHARIA EM GERAL;CMV_MANUT;DESPESA_DIRETA;
SERVIÇOS DE CONSULTORIA EM SOFTWARES;OPER_ERP;DESPESA_DIRETA;
SERVIÇOS DE LICENCIAMENTO / CERTIFICAÇÃO;OPER_TAXAS;DESPESA_DIRETA;
SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;OPER_LIMP;DESPESA_DIRETA;
SERVIÇOS DE MANUTENÇÃO PREDIAL;CMV_MANUT;DESPESA_DIRETA;
SERVIÇOS DE PINTURA E LANTERNAGEM;CMV_MANUT;DESPESA_DIRETA;
SERVIÇOS DE PROPAGANDA E MARKETING;OPER_MKT;DESPESA_DIRETA;
SERVIÇOS TERCEIRIZADOS;CMV_MOTER;DESPESA_DIRETA;
SOFTWARE;OPER_ERP;DESPESA_DIRETA;
TAXAS ESTADUAIS;OPER_TAXAS;DESPESA_DIRETA;
TAXAS ESTADUAIS E CERTIDÕES;OPER_TAXAS;DESPESA_DIRETA;
TAXAS MUNICIPAIS ( ALVARÁ, LIXO, ETC);OPER_TAXAS;DESPESA_DIRETA;
TELEFONE FIXO;OPER_INTERNET;DESPESA_DIRETA;
TELEFONE MÓVEL;OPER_INTERNET;DESPESA_DIRETA;
TRASLADO / PEDÁGIO / COMBUSTÍVEIS / REFEIÇÕES / HO;OPER_TRASLADO;DESPESA_DIRETA;
UNIFORMES;CMV_EPI;DESPESA_DIRETA;
UTENSILIOS - COZINHA;OPER_REFALIM;DESPESA_DIRETA;
VALE COMBUSTÍVEL;OPER_COMBVEIC;DESPESA_DIRETA;
VALE REFEIÇÃO;OPER_VALEREF;DESPESA_DIRETA;
VALE TRANSPORTE;OPER_FOLHA;DESPESA_DIRETA;
# ── Adicionadas via integração banco (2025-06) ──────────────────────────────
13º SALÁRIO;OPER_ENCARGOS;DESPESA_DIRETA;
AQUISIÇÕES - FAZENDA;CAPEX_REFBENF;CAPEX;
ASSISTENCIA MÉDICA;OPER_SEGVIDA;DESPESA_DIRETA;
COMPRA DE PINTAINHAS;CMV_OUTROS;DESPESA_DIRETA;
COMPRA DE RAÇÃO PARA RECRIA;CMV_NUCLEO;INVENTARIAVEL;RACAO
CURSOS E TREINAMENTOS COM PESSOAL;OPER_ENCARGOS;DESPESA_DIRETA;
CUSTOS DE PRODUTOS PARA EMBALAGENS;CMV_EMBAL;DESPESA_DIRETA;
DESPESAS ADMINISTRATIVAS;OPER_GESTAO;DESPESA_DIRETA;
ENCARGOS E PROVISÕES;OPER_ENCARGOS;DESPESA_DIRETA;
ENCARGOS SOCIAIS;OPER_ENCARGOS;DESPESA_DIRETA;
GTA - GUIA DE TRANSITO ANIMAL;CMV_SAUDE;DESPESA_DIRETA;
INSS DCTF WEB - FUNCIONÁRIO;OPER_ENCARGOS;DESPESA_DIRETA;
IRRF S/ FOLHA DE PAGAMENTO (0561);OPER_ENCARGOS;DESPESA_DIRETA;
KBF COMERCIO DE GENEROS ALIMENTICIOS LTDA;OPER_REFALIM;DESPESA_DIRETA;
LIMPEZA - COZINHA;OPER_LIMP;DESPESA_DIRETA;
MANUTENÇÃO COM VEÍCULOS DE PASSEIO;CMV_MANUT;DESPESA_DIRETA;
MARCAS E PATENTES;OPER_TAXAS;DESPESA_DIRETA;
MATERIAL DE CONSUMO - COZINHA;OPER_REFALIM;DESPESA_DIRETA;
MATERIAL PECUÁRIO;CMV_SAUDE;DESPESA_DIRETA;
PAGAMENTO DE IRRF (1708);OPER_ENCARGOS;DESPESA_DIRETA;
PAGAMENTO DE PIS/COFINS/CSLL (5952);IMP_IRPJ;IMPOSTO;
PATROCÍNIO UNIVERSITÁRIO;OPER_PATROC;DESPESA_DIRETA;
REEMBOLSO DE DESPESAS DIVERSAS;OPER_OUTRASFIX;DESPESA_DIRETA;
TAXAS MUNICIPAIS;OPER_TAXAS;DESPESA_DIRETA;
VALE ALIMENTAÇÃO;OPER_VALEREF;DESPESA_DIRETA;
(-) DESCONTOS CONCEDIDOS;IGNORAR;IGNORAR;
(+) RETENÇÃO DE PIS/COFINS/CSLL (5952);IGNORAR;IGNORAR;
